id,area,perimeter,circularity,eccentricity,solidity,extent,aspect_ratio
OAS2_0001_MR1_axl,5794.0,505.05591591021545,0.2854364489909305,0.7808107900917796,0.5589426972795678,0.43599969899917224,1.6005952553825462
OAS2_0001_MR2_axl,6080.0,507.2274887854693,0.2969667867243375,0.7845318552115997,0.5669526296158149,0.45093821849736704,1.612672987112239
OAS2_0002_MR1_axl,5070.0,457.28636328851496,0.30467815873437065,0.812880766969287,0.5862627197039778,0.5241935483870968,1.7169441363242335
OAS2_0002_MR2_axl,5422.0,451.28636328851496,0.33455302135164505,0.801581517963126,0.6107231358414057,0.5422,1.672561053026229
OAS2_0002_MR3_axl,6112.0,465.87214972614186,0.3538830097050278,0.7970007955440653,0.6525034696274153,0.5849363575461767,1.6556887479948799
OAS2_0004_MR1_axl,1657.0,203.9655121145938,0.5005170683629475,0.34981608588907803,0.7611391823610473,0.601233671988389,1.0674427454211155
OAS2_0005_MR1_axl,5197.0,485.6711395993652,0.27687133016444143,0.7313694470128622,0.5773161519662298,0.47159709618874773,1.4663154894157746
OAS2_0005_MR2_axl,5304.0,499.91378028648444,0.26670009024532415,0.7328691537411505,0.5812602739726027,0.47719298245614034,1.4697893442573795
OAS2_0005_MR3_axl,6069.0,480.3574311003804,0.33052017521681404,0.7137320698752493,0.6125353249899071,0.5268229166666667,1.4277171918445821
OAS2_0007_MR1_axl,2173.0,293.43354954612926,0.31713929473651553,0.8685930965237729,0.5742600422832981,0.39646049990877574,2.018057513489172
OAS2_0007_MR3_axl,4451.0,513.8132752230961,0.2118638288624719,0.7655208352396414,0.5197944645568142,0.4448775612193903,1.5542162565906126
OAS2_0007_MR4_axl,5746.0,509.1269837220809,0.27856288725503137,0.7678402893170724,0.569136291600634,0.48269489247311825,1.5609358652433916
OAS2_0008_MR1_axl,2066.0,292.94826817189073,0.30252293931870394,0.9094159325148011,0.5504929389821476,0.37495462794918333,2.4044946772835094
OAS2_0008_MR2_axl,2081.0,317.94826817189073,0.2586836717514594,0.9018000682365439,0.48701146735314765,0.31416062801932365,2.313992663415576
OAS2_0009_MR1_axl,1658.0,215.27922061357856,0.4495625907538326,0.4441092037810405,0.6986936367467341,0.5582491582491582,1.1161054794189198
OAS2_0009_MR2_axl,1735.0,216.45079348883235,0.46536206579495676,0.3931496967752632,0.7122331691297209,0.5735537190082645,1.0875777672892686
OAS2_0010_MR1_axl,3368.0,387.7594513539338,0.28148623512295795,0.7307782543896398,0.5593755190167746,0.4192183221309435,1.464954772860363
OAS2_0010_MR2_axl,3601.0,409.9726547895302,0.2692298473610792,0.7449932819372967,0.5488492607834171,0.4167824074074074,1.499088627121164
OAS2_0012_MR1_axl,1805.0,231.93607486307093,0.42164840703784184,0.5025943998376473,0.6801055011303693,0.4939792008757526,1.1567081132393295
OAS2_0012_MR2_axl,1964.0,232.86500705120545,0.4551377777203204,0.49757158982375793,0.7196775375595457,0.5290948275862069,1.1528401925031277
OAS2_0012_MR3_axl,4276.0,520.2569260369921,0.19852345253182366,0.8109555124289313,0.48196573489630296,0.4015777610818933,1.7090867219677706
OAS2_0013_MR1_axl,2491.0,286.84776310850236,0.38043516760948265,0.8589158163940668,0.640195322539193,0.4323151683443249,1.952679531927339
